area_name,blockType,area_sqm,area_ha,area_ratio
pangyo_1st_technovalley,도시지원시설용지,432584.3704874216,43.25843704874217,0.5035508731118582
pangyo_1st_technovalley,도로,222097.63956144635,22.209763956144634,0.2585332895666904
pangyo_1st_technovalley,하천,43351.748945364016,4.335174894536402,0.0504637072480612
pangyo_1st_technovalley,어린이공원,30651.767185064804,3.06517671850648,0.0356802630457255
pangyo_1st_technovalley,보행자전용도로,21741.446838352706,2.1741446838352707,0.0253081832934273
pangyo_1st_technovalley,주차장,21716.29133891728,2.171629133891728,0.0252789009740268
pangyo_1st_technovalley,공공공지,21175.509526157468,2.1175509526157468,0.0246494026089532
pangyo_1st_technovalley,일반광장,20891.034098292715,2.089103409829272,0.0243182583054298
pangyo_1st_technovalley,완충녹지,20294.72474994783,2.029472474994783,0.0236241229794922
pangyo_1st_technovalley,근린공원,11735.600046166484,1.1735600046166483,0.0136608533569534
pangyo_1st_technovalley,수도공급시설,8697.400628100171,0.8697400628100171,0.0101242300436067
pangyo_1st_technovalley,경관녹지,2032.3023389001005,0.20323023389001,0.0023657064078096
pangyo_1st_technovalley,위험물저장및처리시설,1660.6082624600972,0.1660608262460097,0.0019330350274013
pangyo_1st_technovalley,하수종말처리시설,303.2739046231169,0.0303273904623116,0.0003530267154426
pangyo_1st_technovalley,교통광장,134.14113969755567,0.0134141139697555,0.000156147315121
wirye_plan_area,아파트,2062391.9961658013,206.23919961658012,0.3069057003902971
wirye_plan_area,공원,1249246.3972148127,124.92463972148128,0.1859010514053821
wirye_plan_area,도로,1025778.6618832868,102.57786618832868,0.1526466933812726
wirye_plan_area,업무시설,283997.2502182074,28.399725021820743,0.0422617888108456
wirye_plan_area,학교,238299.3560191189,23.829935601911888,0.0354614597504115
wirye_plan_area,준주거용지,203349.4849583097,20.33494849583097,0.0302605499929989
wirye_plan_area,단독주택,165020.1280796091,16.50201280796091,0.0245567370708014
wirye_plan_area,복합용지,151671.986504508,15.167198650450802,0.0225703926965839
wirye_plan_area,도시지원시설용지,144606.05718802876,14.460605718802876,0.0215189078237692
wirye_plan_area,완충녹지,95467.41764514144,9.546741764514143,0.0142065595344172
wirye_plan_area,유수지,86834.76422327374,8.683476422327374,0.0129219295758107
wirye_plan_area,일반상업,76740.97078494863,7.674097078494863,0.0114198665584292
wirye_plan_area,연결녹지,76575.25887681087,7.6575258876810866,0.0113952068771831
wirye_plan_area,공공공지,74107.96435371628,7.410796435371628,0.0110280474064873
wirye_plan_area,하천,73681.82718295587,7.368182718295587,0.010964633697019
wirye_plan_area,교통광장,69089.58928702895,6.908958928702895,0.0102812602207698
wirye_plan_area,보행자전용도로,60488.20514037233,6.048820514037233,0.0090012834604045
wirye_plan_area,자동차정류장,56223.00477593811,5.622300477593811,0.0083665766211687
wirye_plan_area,수도공급시설,56051.339586856055,5.605133958685605,0.008341031028873
wirye_plan_area,체육시설,50392.4342712864,5.03924342712864,0.0074989261804514
wirye_plan_area,철도,45596.82645935816,4.559682645935816,0.0067852891138543
wirye_plan_area,문화시설,44025.5809274368,4.40255809274368,0.0065514711920645
wirye_plan_area,종합의료시설,44010.986076989146,4.4010986076989145,0.0065492993242493
wirye_plan_area,주차장,42708.18125476762,4.2708181254767625,0.0063554282138207
wirye_plan_area,연립,40414.31510043568,4.0414315100435685,0.0060140767151698
wirye_plan_area,열공급설비,38382.35576976564,3.838235576976564,0.0057116997166635
wirye_plan_area,광장,37081.12546810997,3.708112546810997,0.0055180629115163
wirye_plan_area,종교시설용지,26651.38180961936,2.665138180961936,0.0039660069549614
wirye_plan_area,근린상업,26083.66266219787,2.608366266219787,0.0038815243527751
wirye_plan_area,근린생활시설용지,23872.567522699348,2.3872567522699346,0.0035524900548924
wirye_plan_area,기숙사,15483.761843189604,1.5483761843189603,0.0023041472144942
wirye_plan_area,사회복지시설,9438.976687511218,0.9438976687511218,0.0014046193723763
wirye_plan_area,위험물저장및처리시설,8205.130824926857,0.8205130824926857,0.0012210100830975
wirye_plan_area,가스공급설비,7343.907120809645,0.7343907120809645,0.0010928509045339
wirye_plan_area,전기공급설비,6019.352524417908,0.6019352524417908,0.0008957431981102
wirye_plan_area,녹지,2804.288170592271,0.2804288170592271,0.000417307682871
wirye_plan_area,오수중계펌프장,1267.9718994963057,0.1267971899496305,0.000188687603818
wirye_plan_area,주상복합,390.8605819250304,0.039086058192503,5.816418065705917e-05
wirye_plan_area,상업시설,158.0447467670007,0.0158044746767,2.3518726696820467e-05
