zoneCode,zoneName,blockName,blockType,lotName,parcel_id,area_sqm,included,intersection_area,inside_ratio
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,1500.9450618871656,True,1500.9450618871656,1.0
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,1545.0713061383751,True,1545.0713061383753,1.0000000000000002
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,8509.945133207817,True,8509.945133207817,1.0
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,1332.8907487626923,True,1332.890748762692,0.9999999999999998
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,1456.0073287182965,True,1456.0073287182965,1.0
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,1819.0117529448944,True,1819.0117529448949,1.0000000000000002
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,5179.143229759271,True,5179.143229759272,1.0000000000000002
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,1459.0074315690724,True,1459.0074315690727,1.0000000000000002
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,10563.109669728608,True,10563.109669728608,1.0
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,13881.763908013632,True,13881.763908013629,0.9999999999999998
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,7459.976230556021,True,7459.97623055602,0.9999999999999999
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,8627.275317069314,True,8627.275317069312,0.9999999999999998
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,4209.897499445346,True,4209.897499445346,1.0
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,9116.842674226566,True,9116.842674226562,0.9999999999999996
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,10784.82322958249,True,10784.823229582493,1.0000000000000004
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,9329.024116098755,True,9329.024116098757,1.0000000000000002
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,3100.137284109859,True,3100.137284109859,1.0
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,2770.2409204561523,True,2770.240920456152,0.9999999999999999
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,9928.689501693494,True,9928.689501693496,1.0000000000000002
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,2245.9988575302896,True,2245.9988575302896,1.0
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,2898.920082655207,True,2898.920082655208,1.0000000000000002
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,2937.429900068865,True,2937.429900068865,1.0
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,5852.343931835014,True,5852.343931835012,0.9999999999999997
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,4002.67218320269,True,4002.67218320269,1.0
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,3767.3542862082136,True,3767.354286208213,0.9999999999999999
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,3761.1133741671033,True,3761.1133741671033,1.0
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,6565.978055067519,True,6565.97805506752,1.0000000000000002
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,2996.0468747909104,True,2996.046874790911,1.0000000000000002
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,6231.243081335152,True,6231.243081335153,1.0000000000000002
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,3073.343421321241,True,3073.3434213212413,1.0000000000000002
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,6345.915009856504,True,6345.915009856507,1.0000000000000004
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,3774.8009573217996,True,3774.800957321798,0.9999999999999996
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,2544.330987624091,True,2544.3309876240914,1.0000000000000002
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,1349.3184828359654,True,1349.3184828359654,1.0
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,2072.860798318429,True,2072.8607983184284,0.9999999999999998
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,5287.947993510917,True,5287.947993510916,0.9999999999999998
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,17408.11592108793,True,17408.115921087927,0.9999999999999998
41135MX2001001,성남판교지구 택지개발사업,지원,도시지원시설용지,지원,지원,11625.209535709824,True,11625.209535709824,1.0
41135MX2001001,성남판교지구 택지개발사업,업무5,업무시설,1,업무5-1,1000.7566025060177,True,1000.7566025060177,1.0
41135MX2001001,성남판교지구 택지개발사업,공3,업무시설기타,1,공3-1,1646.7109922413533,True,1646.7109922413536,1.0000000000000002
41135MX2001001,성남판교지구 택지개발사업,공4,업무시설기타,1,공4-1,1108.4347451746166,True,1108.4347451746166,1.0
41135MX2001001,성남판교지구 택지개발사업,공5,업무시설기타,1,공5-1,925.6829017452103,True,925.6829017452103,1.0
41135MX2001001,성남판교지구 택지개발사업,공6,업무시설기타,1,공6-1,1001.0726977341368,True,1001.0726977341367,0.9999999999999999
41135MX2001001,성남판교지구 택지개발사업,동3,업무시설기타,1,동3-1,1653.7760662843862,True,1653.7760662843864,1.0000000000000002
