area_name,origin_station,time_threshold_min,station_id,station_name,line_name,travel_time_min,lon,lat,x,y
pangyo_1st_technovalley,판교역,30,824,판교,신분당선,0.0,127.11115660285478,37.39456947025172,209842.87660537046,532808.6044602178
pangyo_1st_technovalley,판교역,30,825,정자,신분당선,3.3,127.10853330157944,37.36731490403886,209614.0628236814,529783.4901042742
pangyo_1st_technovalley,판교역,30,826,미금,신분당선,5.966667,127.10882039582212,37.350043730204725,209641.70324558634,527866.6879963846
pangyo_1st_technovalley,판교역,30,823,청계산입구,신분당선,6.55,127.05481605824002,37.448208355455385,204850.48034044087,538757.3584180137
pangyo_1st_technovalley,판교역,30,827,동천,신분당선,8.6,127.10282103853412,37.33792959003132,209111.61169044126,526521.6148640675
pangyo_1st_technovalley,판교역,30,822,양재시민의숲,신분당선,9.55,127.03847630891948,37.47013079615356,203403.63954100863,541189.732704508
pangyo_1st_technovalley,판교역,30,795,정자,분당선,9.8,127.10805027517874,37.36637015292752,209571.3955258955,529678.58821441
pangyo_1st_technovalley,판교역,30,26,판교,경강선,11.5,127.11144319589552,37.39478218191577,209868.22643659465,532832.2422259868
pangyo_1st_technovalley,판교역,30,828,수지구청,신분당선,11.5,127.0947672791618,37.32255214257053,208399.62957318188,524814.2196579697
pangyo_1st_technovalley,판교역,30,821,양재,신분당선,11.733333,127.03491881007974,37.483707202554456,203088.3821059551,542696.4093724476
pangyo_1st_technovalley,판교역,30,794,미금,분당선,12.3,127.10901849475744,37.35005408399885,209659.25388394718,527867.8573474591
pangyo_1st_technovalley,판교역,30,796,수내,분당선,12.3,127.1143520319864,37.37845478546335,210127.99814908224,531020.4549966251
pangyo_1st_technovalley,판교역,30,898,성남,경강선,13.5,127.11939278676086,37.39474732415628,210572.16297401124,532829.2347010946
pangyo_1st_technovalley,판교역,30,820,강남,신분당선,13.866667,127.02829567320644,37.49661485108958,202502.17044503297,544128.7920423816
pangyo_1st_technovalley,판교역,30,829,성복,신분당선,14.033333,127.08034168829444,37.31342955195196,207121.88814086,523800.57671492104
pangyo_1st_technovalley,판교역,30,797,서현,분당선,14.3,127.12345491196908,37.38502792700807,210933.2733739239,531750.990037986
pangyo_1st_technovalley,판교역,30,793,오리,분당선,14.3,127.1089653267135,37.33986223006651,209655.84803235682,526736.7174388769
pangyo_1st_technovalley,판교역,30,819,신논현,신분당선,15.3,127.0246034538366,37.50426117404449,202175.44771492403,544977.3431052591
pangyo_1st_technovalley,판교역,30,27,이매,경강선,15.5,127.12731612795024,37.39471204844055,211273.77588398688,532826.2369661301
pangyo_1st_technovalley,판교역,30,798,이매,분당선,16.133333,127.12828907263012,37.39642775541209,211359.6707253735,533016.771659351
pangyo_1st_technovalley,판교역,30,818,논현,신분당선,16.583333,127.02148163870044,37.5107948116954,201899.24997001133,545702.4255410673
pangyo_1st_technovalley,판교역,30,830,상현,신분당선,17.05,127.06933533255231,37.29774945722412,206147.50602825498,522059.57398662803
pangyo_1st_technovalley,판교역,30,792,죽전,분당선,17.633333,127.10756652082291,37.32470333266271,209533.8097155799,525054.1813257855
pangyo_1st_technovalley,판교역,30,508,양재,서울3호선,17.733333,127.0338695771307,37.48458004712426,202995.5482083967,542793.2496491452
pangyo_1st_technovalley,판교역,30,817,신사,신분당선,17.766667,127.01938995736656,37.51660518723846,201714.18584867846,546347.2632504198
pangyo_1st_technovalley,판교역,30,799,야탑,분당선,18.633333,127.1286852017904,37.41180416352642,211392.41874202606,534723.374786168
pangyo_1st_technovalley,판교역,30,507,남부터미널,서울3호선,20.233333,127.0163021415056,37.48500070905941,201441.81240348477,542839.5235739402
pangyo_1st_technovalley,판교역,30,509,매봉,서울3호선,20.233333,127.04677618667324,37.48696948538969,204136.92385374318,543058.9345849513
pangyo_1st_technovalley,판교역,30,831,광교중앙,신분당선,20.316667,127.05164498562326,37.2884501592719,204579.58331307242,521026.50512877497
pangyo_1st_technovalley,판교역,30,28,삼동,경강선,20.5,127.20342545155974,37.408720901714815,218009.86943965178,534392.8279322024
pangyo_1st_technovalley,판교역,30,791,보정,분당선,20.633333,127.10834005272706,37.31279826193464,209603.8838669656,523732.9911015313
pangyo_1st_technovalley,판교역,30,445,강남,서울2호선,20.7,127.02806167769988,37.49811677955261,202481.4286563659,544295.4803679711
pangyo_1st_technovalley,판교역,30,840,성남,GTX_A,21.5,127.12086379733869,37.39508384285294,210702.37232307898,532866.7491260648
pangyo_1st_technovalley,판교역,30,800,모란,분당선,21.633333,127.12906689217004,37.432299307382586,211423.0957908957,536998.087692357
pangyo_1st_technovalley,판교역,30,694,논현,서울7호선,22.083333,127.021853180708,37.51126113697782,201932.08698737208,545754.1892643344
pangyo_1st_technovalley,판교역,30,446,역삼,서울2호선,22.2,127.03636840669158,37.50063961417192,203215.865139945,544575.7337019544
pangyo_1st_technovalley,판교역,30,506,교대,서울3호선,22.233333,127.0138279671102,37.49296656096792,201222.858816473,543723.5932123954
pangyo_1st_technovalley,판교역,30,510,도곡,서울3호선,22.233333,127.0555675006598,37.491048742482185,204914.1676127927,543512.1010569647
pangyo_1st_technovalley,판교역,30,444,교대,서울2호선,22.7,127.0145212219361,37.49391874143159,201284.14962975867,543829.2820153857
