zoneName,blockType,blockName,lotName,parcel_id,feature_count,area_sqm
위례 택지개발사업 예정지구,근린상업,근상1,1-1,근상1-1-1,1,1613.7286918656193
위례 택지개발사업 예정지구,근린상업,근상1,1-2,근상1-1-2,1,1598.069644697872
위례 택지개발사업 예정지구,근린상업,근상1,1-3,근상1-1-3,1,1598.7372765672094
위례 택지개발사업 예정지구,근린상업,근상1,1-4,근상1-1-4,1,1601.736876232804
위례 택지개발사업 예정지구,근린상업,근상1,2-1,근상1-2-1,1,1930.619142464331
위례 택지개발사업 예정지구,근린상업,근상1,2-2,근상1-2-2,1,1930.653807997101
위례 택지개발사업 예정지구,근린상업,근상1,2-3,근상1-2-3,1,1926.6582216994464
위례 택지개발사업 예정지구,근린상업,근상2,1-1,근상2-1-1,1,2965.0402004873854
위례 택지개발사업 예정지구,근린상업,근상2,1-2,근상2-1-2,1,1321.055989533976
위례 택지개발사업 예정지구,근린상업,근상2,1-3,근상2-1-3,1,1613.5306803848384
위례 택지개발사업 예정지구,근린상업,근상2,1-4,근상2-1-4,1,1808.0979639883178
위례 택지개발사업 예정지구,근린상업,근상2,1-5,근상2-1-5,1,1400.772416032921
위례 택지개발사업 예정지구,근린상업,근상3,1-1,근상3-1-1,1,3874.9881141149262
위례 택지개발사업 예정지구,근린상업,근상3,1-2,근상3-1-2,1,899.9736361311208
위례 택지개발사업 예정지구,도시지원시설용지,지원1,지원1,지원1,1,88645.05133522129
위례 택지개발사업 예정지구,도시지원시설용지,지원2,지원2,지원2,1,49348.99571815333
위례 택지개발사업 예정지구,도시지원시설용지,지원3,지원3,지원3,1,6482.826815508093
위례 택지개발사업 예정지구,복합용지,E1-1,E1-1,E1-1,1,20632.048166141794
위례 택지개발사업 예정지구,복합용지,E1-2,E1-2,E1-2,1,99444.27110683854
위례 택지개발사업 예정지구,복합용지,E1-3,E1-3,E1-3,1,31595.667231527674
위례 택지개발사업 예정지구,업무시설,업무1,업무1,업무1,1,30004.832778457552
위례 택지개발사업 예정지구,업무시설,업무10,업무10,업무10,1,1810.4758321063025
위례 택지개발사업 예정지구,업무시설,업무11,업무11,업무11,1,1692.7974130107614
위례 택지개발사업 예정지구,업무시설,업무14,업무14,업무14,1,1994.025134965393
위례 택지개발사업 예정지구,업무시설,업무15,업무15,업무15,1,30050.507530002316
위례 택지개발사업 예정지구,업무시설,업무16,업무16,업무16,1,6143.3185986981025
위례 택지개발사업 예정지구,업무시설,업무18,업무18,업무18,1,1479.357776362427
위례 택지개발사업 예정지구,업무시설,업무2-1,업무2-1,업무2-1,1,5459.893158188937
위례 택지개발사업 예정지구,업무시설,업무2-2,업무2-2,업무2-2,1,17921.980129089992
위례 택지개발사업 예정지구,업무시설,업무21,업무21,업무21,1,10132.044669555657
위례 택지개발사업 예정지구,업무시설,업무22,업무22,업무22,1,13123.831211791136
위례 택지개발사업 예정지구,업무시설,업무23,업무23,업무23,1,18263.8362714395
위례 택지개발사업 예정지구,업무시설,업무24,업무24,업무24,1,13516.898695628024
위례 택지개발사업 예정지구,업무시설,업무25,업무25,업무25,1,3462.0530579845245
위례 택지개발사업 예정지구,업무시설,업무26,업무26,업무26,1,22859.616353166606
위례 택지개발사업 예정지구,업무시설,업무3,업무3,업무3,1,11470.810914942977
위례 택지개발사업 예정지구,업무시설,업무31,업무31,업무31,1,26535.19037458075
위례 택지개발사업 예정지구,업무시설,업무34,업무34,업무34,1,35318.39024896645
위례 택지개발사업 예정지구,업무시설,업무35,업무35,업무35,1,17943.141087350265
위례 택지개발사업 예정지구,업무시설,업무36,업무36,업무36,1,1499.7167116035741
위례 택지개발사업 예정지구,업무시설,업무4,업무4,업무4,1,4629.541167881362
위례 택지개발사업 예정지구,업무시설,업무6,업무6,업무6,1,3013.11397015934
위례 택지개발사업 예정지구,업무시설,업무7,업무7,업무7,1,1501.3577563462525
위례 택지개발사업 예정지구,업무시설,업무8,업무8,업무8,1,1828.2147331150813
위례 택지개발사업 예정지구,업무시설,업무9,업무9,업무9,1,2029.8789630626827
위례 택지개발사업 예정지구,일반상업,일상1,1-1,일상1-1-1,1,3041.797334323861
위례 택지개발사업 예정지구,일반상업,일상1,1-2,일상1-1-2,1,2857.223797017056
위례 택지개발사업 예정지구,일반상업,일상10,일상10,일상10,1,9397.760869885264
위례 택지개발사업 예정지구,일반상업,일상11,1-1,일상11-1-1,1,4655.9407916383025
위례 택지개발사업 예정지구,일반상업,일상11,1-2,일상11-1-2,1,4656.879975162033
위례 택지개발사업 예정지구,일반상업,일상2,1-1,일상2-1-1,1,1055.0058098177155
위례 택지개발사업 예정지구,일반상업,일상2,1-2,일상2-1-2,1,1049.589471909558
위례 택지개발사업 예정지구,일반상업,일상2,1-3,일상2-1-3,1,1049.3443097440493
위례 택지개발사업 예정지구,일반상업,일상2,1-4,일상2-1-4,1,1067.5837496417191
위례 택지개발사업 예정지구,일반상업,일상3,1-1,일상3-1-1,1,2784.6229623286936
위례 택지개발사업 예정지구,일반상업,일상3,1-2,일상3-1-2,1,2822.4981155216296
위례 택지개발사업 예정지구,일반상업,일상3,1-3,일상3-1-3,1,2818.8290530720683
위례 택지개발사업 예정지구,일반상업,일상3,2-1,일상3-2-1,1,1891.7663753576965
위례 택지개발사업 예정지구,일반상업,일상3,2-2,일상3-2-2,1,2075.9545397085926
위례 택지개발사업 예정지구,일반상업,일상4,1-1,일상4-1-1,1,1893.0462235975817
위례 택지개발사업 예정지구,일반상업,일상4,1-2,일상4-1-2,1,1925.2898985991078
위례 택지개발사업 예정지구,일반상업,일상5,1-1,일상5-1-1,1,1681.1062894188112
위례 택지개발사업 예정지구,일반상업,일상5,1-2,일상5-1-2,1,1677.7697875461743
위례 택지개발사업 예정지구,일반상업,일상5,2-1,일상5-2-1,1,2000.0928365933944
위례 택지개발사업 예정지구,일반상업,일상5,2-2,일상5-2-2,1,2050.0094565308464
위례 택지개발사업 예정지구,일반상업,일상6,1-1,일상6-1-1,1,1059.4352308797313
위례 택지개발사업 예정지구,일반상업,일상6,1-2,일상6-1-2,1,999.8360823958908
위례 택지개발사업 예정지구,일반상업,일상6,2-1,일상6-2-1,1,1300.1889754709412
위례 택지개발사업 예정지구,일반상업,일상6,2-2,일상6-2-2,1,1337.4070606203156
위례 택지개발사업 예정지구,일반상업,일상7,일상7,일상7,1,4909.258030126931
위례 택지개발사업 예정지구,일반상업,일상9,1-1,일상9-1-1,1,7526.693364388243
위례 택지개발사업 예정지구,일반상업,일상9,1-2,일상9-1-2,1,7156.040393652421
