area_name,main_use,building_count,building_count_ratio,total_floor_area_sqm,floor_area_ratio
pangyo_1st_technovalley,공동주택,152,0.4840764331210191,615564.5727,0.1736971322315326
pangyo_1st_technovalley,관광휴게시설,1,0.0031847133757961785,39.6,1.1174142797397364e-05
pangyo_1st_technovalley,교육연구시설,26,0.08280254777070063,899336.32,0.2537705167314609
pangyo_1st_technovalley,노유자시설,2,0.006369426751592357,10069.9,0.0028414772867553463
pangyo_1st_technovalley,단독주택,34,0.10828025477707007,14940.86,0.004215941998886929
pangyo_1st_technovalley,업무시설,60,0.1910828025477707,1837877.75,0.5186037480469539
pangyo_1st_technovalley,운동시설,1,0.0031847133757961785,4690.84,0.0013236392929228144
pangyo_1st_technovalley,위험물저장및처리시설,2,0.006369426751592357,952.6,0.0002688002128485033
pangyo_1st_technovalley,자동차관련시설,10,0.03184713375796178,113216.93,0.03194702381068034
pangyo_1st_technovalley,제1종근린생활시설,13,0.041401273885350316,14312.5858,0.004038658523464692
pangyo_1st_technovalley,제2종근린생활시설,10,0.03184713375796178,19638.344800000003,0.0055414562903971214
pangyo_1st_technovalley,종교시설,3,0.009554140127388535,13255.7,0.003740431431299501
wirye_plan_area,공동주택,1784,0.49281767955801103,8969373.7824,0.579527298727438
wirye_plan_area,공장,8,0.0022099447513812156,382768.14,0.024731334828346357
wirye_plan_area,관광휴게시설,4,0.0011049723756906078,258.929,1.672986627301032e-05
wirye_plan_area,교육연구시설,60,0.016574585635359115,355663.25299999997,0.022980039551050047
wirye_plan_area,교정및군사시설,5,0.0013812154696132596,99485.06,0.006427907843317699
wirye_plan_area,노유자시설,20,0.0055248618784530384,23567.82,0.001522759045708971
wirye_plan_area,단독주택,948,0.261878453038674,289145.371,0.01868220010230587
wirye_plan_area,동물및식물관련시설,52,0.014364640883977901,20133.25,0.001300845328800888
wirye_plan_area,문화및집회시설,5,0.0013812154696132596,38693.33,0.002500045327319298
wirye_plan_area,숙박시설,11,0.0030386740331491712,127409.55,0.00823215913785023
wirye_plan_area,업무시설,90,0.024861878453038673,1994430.9704,0.1288637558000155
wirye_plan_area,운동시설,3,0.0008287292817679558,105491.12999999999,0.006815970779204907
wirye_plan_area,위락시설,2,0.0005524861878453039,167845.9,0.01084482410804917
wirye_plan_area,위험물저장및처리시설,12,0.0033149171270718232,5349.57,0.0003456452954984101
wirye_plan_area,의료시설,9,0.002486187845303867,85122.25,0.005499900974235227
wirye_plan_area,자동차관련시설,25,0.006906077348066298,142485.215,0.009206224844768738
wirye_plan_area,제1종근린생활시설,221,0.06104972375690608,331585.0196,0.021424301781729767
wirye_plan_area,제2종근린생활시설,312,0.0861878453038674,532904.7583,0.03443193053929799
wirye_plan_area,종교시설,20,0.0055248618784530384,63806.92,0.004122679340254154
wirye_plan_area,창고시설,10,0.0027624309392265192,2711.2799999999997,0.00017518065503936377
wirye_plan_area,판매시설,19,0.005248618784530387,1738819.888,0.11234826612349635
